id,label,parent,synonym
DOID:0001816,angiosarcoma,vascular cancer,hemangiosarcoma
DOID:175,vascular cancer,vascular disease,Blood vessel tumor
DOID:175,vascular cancer,vascular disease,Blood vessel tumors
DOID:175,vascular cancer,vascular disease,Blood vessel tumour disorder
DOID:175,vascular cancer,vascular disease,Haemangiomatous tumour
DOID:175,vascular cancer,vascular disease,blood vessel neoplasm
DOID:175,vascular cancer,vascular disease,leiomyosarcoma of the renal Vein
DOID:175,vascular cancer,vascular disease,malignant great vessel tumor
DOID:175,vascular cancer,vascular disease,malignant tumor of pulmonary Vein
DOID:175,vascular cancer,vascular disease,malignant tumor of pulmonary artery
DOID:175,vascular cancer,vascular disease,malignant vascular neoplasm
DOID:175,vascular cancer,vascular disease,malignant vascular tumor
DOID:175,vascular cancer,vascular disease,neoplasm of great vessel
DOID:175,vascular cancer,vascular disease,pulmonary artery malignant neoplasm
DOID:175,vascular cancer,vascular disease,pulmonary vein malignant neoplasm
DOID:175,vascular cancer,vascular disease,renal vein leiomyosarcoma
DOID:175,vascular cancer,vascular disease,vascular tissue neoplasm
DOID:175,vascular cancer,vascular disease,vascular tumors
DOID:175,vascular cancer,cardiovascular cancer,Blood vessel tumor
DOID:175,vascular cancer,cardiovascular cancer,Blood vessel tumors
DOID:175,vascular cancer,cardiovascular cancer,Blood vessel tumour disorder
DOID:175,vascular cancer,cardiovascular cancer,Haemangiomatous tumour
DOID:175,vascular cancer,cardiovascular cancer,blood vessel neoplasm
DOID:175,vascular cancer,cardiovascular cancer,leiomyosarcoma of the renal Vein
DOID:175,vascular cancer,cardiovascular cancer,malignant great vessel tumor
DOID:175,vascular cancer,cardiovascular cancer,malignant tumor of pulmonary Vein
DOID:175,vascular cancer,cardiovascular cancer,malignant tumor of pulmonary artery
DOID:175,vascular cancer,cardiovascular cancer,malignant vascular neoplasm
DOID:175,vascular cancer,cardiovascular cancer,malignant vascular tumor
DOID:175,vascular cancer,cardiovascular cancer,neoplasm of great vessel
DOID:175,vascular cancer,cardiovascular cancer,pulmonary artery malignant neoplasm
DOID:175,vascular cancer,cardiovascular cancer,pulmonary vein malignant neoplasm
DOID:175,vascular cancer,cardiovascular cancer,renal vein leiomyosarcoma
DOID:175,vascular cancer,cardiovascular cancer,vascular tissue neoplasm
DOID:175,vascular cancer,cardiovascular cancer,vascular tumors
DOID:0002116,pterygium,corneal disease,surfer's eye
DOID:10124,corneal disease,eye disease,
