,ID,TEXT
0,0,Epididymal protein Rnase10 is required for post-testicular sperm maturation and male fertility.
1,0,Rnase10
2,0,"Eutherian spermatozoa are dependent on the environment of the proximal epididymis to complete their maturation; however, no specific epididymal factors that mediate this process have so far been identified. Here, we show that targeted disruption of the novel gene Rnase10 encoding a secreted proximal epididymal protein in the mouse results in a binding defect in spermatozoa and their inability to pass through the uterotubal junction in the female. The failure to gain the site of fertilization in the knockout spermatozoa is associated with a gradual loss of ADAM3 and ADAM6 proteins during epididymal transit. In the distal epididymis, these spermatozoa appear to lack calcium-dependent associations with the immobilizing glutinous extracellular material and are released as single, vigorously motile cells that display no tendency for head-to-head agglutination and lack affinity to the oviductal epithelium. In sperm-egg binding assay, they are unable to establish a tenacious association with the zona pellucida, yet they are capable of fertilization. Furthermore, these sperm show accelerated capacitation resulting in an overall in vitro fertilizing ability superior to that of wild-type sperm. We conclude that the physiological role of sperm adhesiveness is in the mechanism of restricted sperm entry into the oviduct rather than in sperm-egg interaction."
3,0,Rnase10
4,0,ADAM3
5,0,ADAM6
6,1,The LIM-Homeodomain transcription factor Islet-1 is required for the development of sympathetic neurons and adrenal chromaffin cells.
7,1,LIM-Homeodomain transcription factor
8,1,Islet-1
9,1,"Islet-1 is a LIM-Homeodomain transcription factor with important functions for the development of distinct neuronal and non-neuronal cell populations. We show here that Islet-1 acts genetically downstream of Phox2B in cells of the sympathoadrenal cell lineage and that the development of sympathetic neurons and chromaffin cells is impaired in mouse embryos with a conditional deletion of Islet-1 controlled by the wnt1 promotor. Islet-1 is not essential for the initial differentiation of sympathoadrenal cells, as indicated by the correct expression of pan-neuronal and catecholaminergic subtype specific genes in primary sympathetic ganglia of Islet-1 deficient mouse embryos. However, our data indicate that the subsequent survival of sympathetic neuron precursors and their differentiation towards TrkA expressing neurons depends on Islet-1 function. In contrast to spinal sensory neurons, sympathetic neurons of Islet-1 deficient mice did not display ectopic expression of genes normally present in the CNS. In Islet-1 deficient mouse embryos the numbers of chromaffin cells were only mildly reduced, in contrast to that of sympathetic neurons, but the initiation of the adrenaline synthesizing enzyme PNMT was abrogated and the expression level of chromogranin A was diminished. Microarray analysis revealed that developing chromaffin cells of Islet-1 deficient mice displayed normal expression levels of TH, DBH and the transcription factors Phox2B, Mash-1, Hand2, Gata3 and Insm1, but the expression levels of the transcription factors Gata2 and Hand1, and AP-2ß were significantly reduced. Together our data indicate that Islet-1 is not essentially required for the initial differentiation of sympathoadrenal cells, but has an important function for the correct subsequent development of sympathetic neurons and chromaffin cells."
10,1,Islet-1
11,1,LIM-Homeodomain transcription factor
12,1,Islet-1
13,1,Phox2B
14,1,Islet-1
15,1,wnt1
16,1,Islet-1
17,1,Islet-1
18,1,TrkA
19,1,Islet-1
20,1,Islet-1
21,1,Islet-1
22,1,PNMT
23,1,chromogranin A
24,1,Islet-1
25,1,TH
26,1,DBH
27,1,Phox2B
28,1,Mash-1
29,1,Hand2
30,1,Gata3
31,1,Insm1
32,1,Gata2
33,1,Hand1
34,1,AP-2b
35,1,Islet-1
36,2,"A homozygous mutation in LYRM7/MZM1L associated with early onset encephalopathy, lactic acidosis, and severe reduction of mitochondrial complex III activity."
37,2,LYRM7
38,2,MZM1L
39,2,"Mutations in nuclear genes associated with defective complex III (cIII) of the mitochondrial respiratory chain are rare, having been found in only two cIII assembly factors and, as private changes in single families, three cIII structural subunits. Recently, human LYRM7/MZM1L, the ortholog of yeast MZM1, has been identified as a new assembly factor for cIII. In a baby patient with early onset, severe encephalopathy, lactic acidosis and profound, isolated cIII deficiency in skeletal muscle, we identified a disease-segregating homozygous mutation (c.73G>A) in LYRM7/MZM1L, predicting a drastic change in a highly conserved amino-acid residue (p.Asp25Asn). In a mzm1Δ yeast strain, the expression of a mzm1(D25N) mutant allele caused temperature-sensitive respiratory growth defect, decreased oxygen consumption, impaired maturation/stabilization of the Rieske Fe-S protein, and reduced complex III activity and amount. LYRM7/MZM1L is a novel disease gene, causing cIII-defective, early onset, severe mitochondrial encephalopathy."
40,2,LYRM7
41,2,MZM1L
42,2,MZM1
43,2,LYRM7
44,2,MZM1L
45,2,mzm1
46,2,mzm1
47,2,Rieske Fe-S protein
48,2,LYRM7
49,2,MZM1L
50,3,Essential roles of epithelial bone morphogenetic protein signaling during prostatic development.
51,3,bone morphogenetic protein
