,id,label,parent,synonym,length
0,DOID:0001816,angiosarcoma,vascular cancer,hemangiosarcoma,15.0
1,DOID:175,vascular cancer,vascular disease,blood vessel tumor,18.0
2,DOID:175,vascular cancer,vascular disease,blood vessel tumors,19.0
3,DOID:175,vascular cancer,vascular disease,blood vessel tumour disorder,28.0
4,DOID:175,vascular cancer,vascular disease,haemangiomatous tumour,22.0
5,DOID:175,vascular cancer,vascular disease,blood vessel neoplasm,21.0
6,DOID:175,vascular cancer,vascular disease,leiomyosarcoma of the renal vein,32.0
7,DOID:175,vascular cancer,vascular disease,malignant great vessel tumor,28.0
8,DOID:175,vascular cancer,vascular disease,malignant tumor of pulmonary vein,33.0
9,DOID:175,vascular cancer,vascular disease,malignant tumor of pulmonary artery,35.0
10,DOID:175,vascular cancer,vascular disease,malignant vascular neoplasm,27.0
11,DOID:175,vascular cancer,vascular disease,malignant vascular tumor,24.0
12,DOID:175,vascular cancer,vascular disease,neoplasm of great vessel,24.0
13,DOID:175,vascular cancer,vascular disease,pulmonary artery malignant neoplasm,35.0
14,DOID:175,vascular cancer,vascular disease,pulmonary vein malignant neoplasm,33.0
15,DOID:175,vascular cancer,vascular disease,renal vein leiomyosarcoma,25.0
16,DOID:175,vascular cancer,vascular disease,vascular tissue neoplasm,24.0
17,DOID:175,vascular cancer,vascular disease,vascular tumors,15.0
18,DOID:175,vascular cancer,cardiovascular cancer,blood vessel tumor,18.0
19,DOID:175,vascular cancer,cardiovascular cancer,blood vessel tumors,19.0
20,DOID:175,vascular cancer,cardiovascular cancer,blood vessel tumour disorder,28.0
21,DOID:175,vascular cancer,cardiovascular cancer,haemangiomatous tumour,22.0
22,DOID:175,vascular cancer,cardiovascular cancer,blood vessel neoplasm,21.0
23,DOID:175,vascular cancer,cardiovascular cancer,leiomyosarcoma of the renal vein,32.0
24,DOID:175,vascular cancer,cardiovascular cancer,malignant great vessel tumor,28.0
25,DOID:175,vascular cancer,cardiovascular cancer,malignant tumor of pulmonary vein,33.0
26,DOID:175,vascular cancer,cardiovascular cancer,malignant tumor of pulmonary artery,35.0
27,DOID:175,vascular cancer,cardiovascular cancer,malignant vascular neoplasm,27.0
28,DOID:175,vascular cancer,cardiovascular cancer,malignant vascular tumor,24.0
29,DOID:175,vascular cancer,cardiovascular cancer,neoplasm of great vessel,24.0
30,DOID:175,vascular cancer,cardiovascular cancer,pulmonary artery malignant neoplasm,35.0
31,DOID:175,vascular cancer,cardiovascular cancer,pulmonary vein malignant neoplasm,33.0
32,DOID:175,vascular cancer,cardiovascular cancer,renal vein leiomyosarcoma,25.0
33,DOID:175,vascular cancer,cardiovascular cancer,vascular tissue neoplasm,24.0
34,DOID:175,vascular cancer,cardiovascular cancer,vascular tumors,15.0
35,DOID:0002116,pterygium,corneal disease,surfers eye,12.0
37,DOID:0014667,disease of metabolism,disease,metabolic,17.0
40,DOID:0040002,aspirin allergy,drug allergy,asa allergy,11.0
41,DOID:0040002,aspirin allergy,drug allergy,acetylsalicylic acid allergy,28.0
43,DOID:0040003,benzylpenicillin allergy,beta-lactam allergy,benzyl penicillin allergy,25.0
44,DOID:0040003,benzylpenicillin allergy,beta-lactam allergy,penicillin g allergy,20.0
47,DOID:0040005,ceftriaxone allergy,cephalosporin allergy,rocephin allergy,16.0
49,DOID:0040006,carbamazepine allergy,drug allergy,tegretol allergy,16.0
50,DOID:0040006,carbamazepine allergy,drug allergy,carbamazepen allergy,20.0
51,DOID:0040007,abacavir allergy,drug allergy,abc allergy,11.0
52,DOID:0040008,isoniazide allergy,drug allergy,inh allergy,11.0
53,DOID:0040008,isoniazide allergy,drug allergy,isonicotinylhydrazide allergy,29.0
54,DOID:0040009,lidocaine allergy,drug allergy,lidoderm allergy,16.0
55,DOID:0040009,lidocaine allergy,drug allergy,lignocaine allergy,18.0
56,DOID:0040009,lidocaine allergy,drug allergy,xylocaine allergy,17.0
57,DOID:0040010,mepivacaine allergy,drug allergy,carbocaine allergy,18.0
58,DOID:0040010,mepivacaine allergy,drug allergy,polocaine allergy,17.0
59,DOID:0040011,phenobarbital allergy,drug allergy,luminal allergy,15.0
60,DOID:0040011,phenobarbital allergy,drug allergy,phenobarbitol allergy,21.0
61,DOID:0040011,phenobarbital allergy,drug allergy,phenobarbitone allergy,22.0
62,DOID:0040012,phenytoin allergy,drug allergy,dilantin allergy,16.0
63,DOID:0040013,ranitidine allergy,drug allergy,zantac allergy,14.0
66,DOID:0040016,sulfamethoxazole allergy,drug allergy,smx allergy,11.0
67,DOID:0040016,sulfamethoxazole allergy,drug allergy,smz allergy,11.0
68,DOID:0040016,sulfamethoxazole allergy,drug allergy,sulphamethoxazole allergy,25.0
69,DOID:0040017,suprofen allergy,drug allergy,profenal allergy,16.0
70,DOID:0040018,thiopental allergy,drug allergy,penthiobarbital allergy,23.0
71,DOID:0040018,thiopental allergy,drug allergy,pentothiobarbital allergy,25.0
72,DOID:0040019,D-mannitol allergy,drug allergy,mannitol allergy,16.0
74,DOID:0040022,amodiaquine allergy,drug allergy,camoquin allergy,16.0
75,DOID:0040022,amodiaquine allergy,drug allergy,flavoquine allergy,18.0
76,DOID:0040023,cefaclor allergy,cephalosporin allergy,ceclor allergy,14.0
77,DOID:0040023,cefaclor allergy,cephalosporin allergy,cephaclor allergy,17.0
78,DOID:0040024,ceftazidime allergy,cephalosporin allergy,fortaz allergy,14.0
79,DOID:0040024,ceftazidime allergy,cephalosporin allergy,tazicef allergy,15.0
80,DOID:0040025,cefuroxime allergy,cephalosporin allergy,zinacef allergy,15.0
81,DOID:0040025,cefuroxime allergy,cephalosporin allergy,cephuroxime allergy,19.0
83,DOID:0040027,cyclophosphamide allergy,drug allergy,cytophosphane allergy,21.0
84,DOID:0040028,succinylcholine allergy,drug allergy,dicholine succinate allergy,27.0
85,DOID:0040028,succinylcholine allergy,drug allergy,succinocholine allergy,22.0
86,DOID:0040028,succinylcholine allergy,drug allergy,sux allergy,11.0
87,DOID:0040028,succinylcholine allergy,drug allergy,suxamethonium allergy,21.0
88,DOID:0040029,trimethoprim allergy,drug allergy,primsol allergy,15.0
89,DOID:0040029,trimethoprim allergy,drug allergy,tmp allergy,11.0
90,DOID:0040029,trimethoprim allergy,drug allergy,proloprim allergy,17.0
92,DOID:0040031,diclofenac allergy,drug allergy,voltaren allergy,16.0
95,DOID:0040034,rocuronium allergy,drug allergy,esmeron allergy,15.0
96,DOID:0040034,rocuronium allergy,drug allergy,zemuron allergy,15.0
98,DOID:0040036,tubocurarine allergy,drug allergy,dtc allergy,11.0
99,DOID:0040037,aztreonam allergy,beta-lactam allergy,azactam allergy,15.0
100,DOID:0040037,aztreonam allergy,beta-lactam allergy,primbactam allergy,18.0
101,DOID:0040038,meropenem allergy,allergic asthma,merrem allergy,14.0
102,DOID:9415,allergic asthma,respiratory allergy,extrinsic asthma with acute exacerbation,40.0
103,DOID:9415,allergic asthma,respiratory allergy,extrinsic asthma with status asthmaticus,40.0
104,DOID:9415,allergic asthma,extrinsic asthma,extrinsic asthma with acute exacerbation,40.0
105,DOID:9415,allergic asthma,extrinsic asthma,extrinsic asthma with status asthmaticus,40.0
106,DOID:0040040,hexamethylene diisocyanate allergic asthma,isocyanates allergic asthma,allergic asthma to hdi,22.0
107,DOID:0040040,hexamethylene diisocyanate allergic asthma,isocyanates allergic asthma,allergic asthma to hmdi,23.0
109,DOID:0040042,"diphenylmethane-4,4'-diisocyanate allergic asthma",isocyanates allergic asthma,allergic asthma to mdi,22.0
110,DOID:0040043,toluene meta-diisocyanate allergic asthma,isocyanates allergic asthma,allergic asthma to tdi,22.0
111,DOID:0040044,methyl isocyanate allergic asthma,isocyanates allergic asthma,allergic asthma to mic,22.0
112,DOID:0040045,nickel allergic asthma,allergic asthma,allergic asthma to ni,21.0
113,DOID:0040045,nickel allergic asthma,metal allergy,allergic asthma to ni,21.0
115,DOID:0040046,nickel allergic contact dermatitis,metal allergy,allergic contact dermatitis to ni,33.0
116,DOID:0040046,nickel allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to ni,33.0
119,DOID:0040047,trimellitic anhydride allergic asthma,allergic asthma,allergic asthma to tma,22.0
121,DOID:0040049,maleic anhydride allergic asthma,allergic asthma,allergic asthma to ma,21.0
123,DOID:0040051,hexahydrophthalic anhydride allergic asthma,allergic asthma,allergic asthma to hhpa,23.0
124,DOID:0040052,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to mdi,34.0
125,DOID:0040053,cobalt allergic contact dermatitis,metal allergy,allergic contact dermatitis to co,33.0
126,DOID:0040053,cobalt allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to co,33.0
127,DOID:0040054,cobalt allergic asthma,allergic asthma,co allergic asthma,18.0
128,DOID:0040054,cobalt allergic asthma,metal allergy,co allergic asthma,18.0
129,DOID:0040055,palladium allergic contact dermatitis,metal allergy,allergic contact dermatitis to pd,33.0
130,DOID:0040055,palladium allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to pd,33.0
133,DOID:0040057,benzoic acid allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to benzoate,39.0
134,DOID:0040058,"1,4-phenylenediamine allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to ppd,34.0
135,DOID:0040058,"1,4-phenylenediamine allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to pphenylenediamine,49.0
